0 0.51216
1 1.51926
2 0.513725
3 1.10131
4 0.508547
5 0.760764
6 0.361922
7 0.405975
8 0.266977
9 0.262989
10 0.178597
11 0.154337
12 0.114506
13 0.104586
14 0.0821355
15 0.0711323
16 0.0574458
17 0.052568
18 0.0444303
19 0.0402843
20 0.0345579
21 0.0322862
22 0.0285426
23 0.0268074
24 0.0239226
25 0.0227899
26 0.0207692
27 0.0199072
28 0.0182314
29 0.0175945
30 0.0163677
31 0.0158606
32 0.0147871
33 0.0143815
34 0.0135665
35 0.0132273
36 0.0124923
37 0.0122075
38 0.0116296
39 0.0113824
40 0.0108547
41 0.0106406
42 0.0102117
43 0.0100212
44 0.00962847
