0 0.683414
1 1.24208
2 0.287691
3 0.377422
4 0.15165
5 0.156756
6 0.110778
7 0.0884222
8 0.0405169
9 0.045919
10 0.036551
11 0.0379496
12 0.0282019
13 0.0317332
14 0.027612
15 0.0294603
16 0.0260549
17 0.0271668
18 0.0249739
19 0.0254025
20 0.0237155
21 0.0237468
22 0.0224903
23 0.0222685
24 0.021269
25 0.020908
26 0.0200979
27 0.0196661
28 0.018985
29 0.0185272
30 0.0179418
31 0.0174843
32 0.0169703
33 0.0165284
34 0.0160703
35 0.0156521
36 0.0152392
37 0.0148481
38 0.014473
39 0.01411
40 0.013767
41 0.0134314
42 0.0131164
43 0.0128068
44 0.0125165
45 0.012231
46 0.0119627
47 0.0116993
48 0.0114508
49 0.0112075
50 0.0109769
51 0.0107519
52 0.0105374
53 0.0103289
54 0.0101291
55 0.00993559
