0 0.620455
1 0.41097
2 0.082642
3 0.081452
4 0.0760594
5 0.0879982
6 0.0835183
7 0.0919596
8 0.0805643
9 0.0823794
10 0.0708027
11 0.069367
12 0.0601833
13 0.0577761
14 0.0509427
15 0.048552
16 0.0436169
17 0.0414612
18 0.0377781
19 0.0359337
20 0.033163
21 0.0315896
22 0.0294242
23 0.0280954
24 0.0263825
25 0.0252514
26 0.0238542
27 0.0228914
28 0.0217396
29 0.0209128
30 0.0199415
31 0.019229
32 0.0184028
33 0.0177838
34 0.0170693
35 0.0165292
36 0.015907
37 0.0154322
38 0.0148837
39 0.0144645
40 0.0139782
41 0.0136056
42 0.0131706
43 0.0128381
44 0.012447
45 0.0121485
46 0.0117945
47 0.0115256
48 0.0112038
49 0.0109604
50 0.0106663
51 0.0104452
52 0.0101754
53 0.00997371
