138
0 9876 2
1 7924 2
2 3822 2
3 6725 2
4 3656 2
5 3678 2
6 2540 2
7 7696 2
8 2066 2
9 5525 2
10 6698 2
11 8135 2
12 5434 2
13 8648 2
14 5195 2
15 4013 2
16 4819 2
17 8467 2
18 9064 2
19 8669 2
20 5611 2
21 2955 2
22 1934 2
23 2763 2
24 4209 2
25 2931 2
26 8964 2
27 8801 2
28 9511 2
29 11232 2
30 7704 2
31 9861 2
32 2538 2
33 5091 2
34 353 2
35 1169 2
36 3955 2
37 12045 2
38 11189 2
39 12222 2
40 9959 2
41 10495 2
42 13026 2
43 4078 2
44 11337 2
45 6726 2
46 980 2
47 823 2
48 1563 2
49 10595 2
50 5764 2
51 12986 2
52 3681 2
53 13004 2
54 1665 2
55 12205 2
56 9330 2
57 10142 2
58 9972 2
59 13159 2
60 12539 2
61 11640 2
62 9975 2
63 12846 2
64 12641 2
65 11025 2
66 12338 2
67 12313 2
68 12313 1
69 11025 1
70 9790 1
71 12338 1
72 9975 1
73 9549 1
74 12846 1
75 9972 1
76 12969 1
77 1665 1
78 12641 1
79 980 1
80 10142 1
81 823 1
82 11640 1
83 1563 1
84 353 1
85 3681 1
86 11136 1
87 1169 1
88 4078 1
89 1934 1
90 9689 1
91 13510 1
92 11337 1
93 9861 1
94 5195 1
95 7208 1
96 11864 1
97 10555 1
98 13004 1
99 8669 1
100 10846 1
101 6698 1
102 3011 1
103 1728 1
104 10734 1
105 8488 1
106 12986 1
107 7704 1
108 11031 1
109 8648 1
110 5525 1
111 7696 1
112 3064 1
113 1818 1
114 13244 1
115 8828 1
116 12045 1
117 5611 1
118 10265 1
119 4582 1
120 2540 1
121 6725 1
122 11406 1
123 4068 1
124 3984 1
125 13385 1
126 13031 1
127 8964 1
128 13327 1
129 5496 1
130 3874 1
131 3822 1
132 9876 1
133 12436 1
134 5957 1
135 3380 1
136 4379 1
137 4745 1
