1 0.551361
2 0.309243
3 0.213569
4 0.162963
5 0.131354
6 0.110004
7 0.0944664
8 0.0827436
9 0.0733877
10 0.0660156
11 0.0599057
12 0.0548344
13 0.0504466
14 0.0467552
15 0.0434708
16 0.0406646
17 0.0381596
18 0.0359528
19 0.0338985
20 0.0321228
21 0.0304809
22 0.0290193
23 0.0276447
24 0.0264221
25 0.025246
26 0.0242096
27 0.0232327
28 0.0223413
29 0.0214633
30 0.0206914
31 0.0199427
32 0.0192662
33 0.0186065
34 0.0180098
35 0.0174115
36 0.0168815
37 0.0163637
38 0.0158895
39 0.0154087
40 0.0149827
41 0.0145534
42 0.0141686
43 0.0137864
44 0.0134367
45 0.0130736
46 0.0127555
47 0.0124374
48 0.0121459
49 0.0118431
50 0.011576
51 0.0113005
52 0.0110544
53 0.0108042
54 0.0105768
55 0.0103364
56 0.0101259
57 0.00990849
