# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
306 306 0  3484
      140         7 -0.0014081428748601045303
      140         8 0.0010726212668598969751
      140        19 0.00027891575810659136004
      140        20 -0.0012134868696150372634
      140        21 -0.00056673567853653020014
      140        22 -0.001497663564572537364
      140        35 0.00020208462048884064501
      140        36 -0.00087921541320790379693
      141        11 0.010204108722732292344
      141        12 -0.00045181325015369367716
      141        13 0.019174751826714093311
      141        14 0.0002270530154141145473
      141        15 0.004518160885774757593
      141        16 0.00019698001171595649395
      141        23 -0.015611725337266025779
      141        24 0.00065084284506188385972
      141        25 -0.018273868858843040491
      141        26 -0.00062306262203826103408
      142        11 0.0071256154394612547867
      142        12 0.0042079851589528908043
      142        13 0.001379039363008713456
      142        14 0.011465737585521879396
      142        15 -0.0085324350254927395359
      142        16 0.0012838893701070516404
      142        23 0.00065084284506175592386
      142        24 -0.0078875255857977846774
      142        25 -0.00062306262203898463061
      142        26 -0.0090586592896719636547
      143         7 0.081310548066209631379
      143         8 -0.0094293403503089845419
      143         9 0.1621590171359564847
      143        10 0.0055037333364294652518
      143        11 0.0057674059428763175747
      143        12 0.0011578959255694463212
      143        13 4.6201440754092681234e-05
      143        14 1.0278957141978436167e-05
      143        21 -0.10062540729772552484
      143        22 0.010406615048420582784
      143        23 -0.0003649434402833368128
      143        24 -4.5512087596349445472e-05
      143        33 -0.14801791631861715981
      143        34 -0.0076036708296561344653
      144         7 0.037318150389471921313
      144         8 0.028826765383569437351
      144         9 0.029340608692712266681
      144        10 0.10897703109940747035
      144        11 -0.069285913785056399417
      144        12 -0.012132642764838068652
      144        13 -0.00013027742829337004811
      144        14 -2.7258304931398957355e-05
      144        21 0.010406615048420924524
      144        22 -0.053590850723950339551
      144        23 -4.5512087596333080796e-05
      144        24 -0.00020006451730636762429
      144        33 -0.0076036708296590063
      144        34 -0.07157807464278033438
      145         1 -0.086874435454687509717
      145         2 -0.012191067815569675906
      145         3 1.2115600691470891359
      145         4 -0.0043103959438390987424
      145         5 -0.071758996427389032391
      145         6 0.016752413235859565238
      145         7 -0.0013787597499149446129
      145         8 0.0011410513429158739961
      145        19 -0.94873394753997852824
      145        20 -0.0098894112584283992012
      145        21 -0.00065811310335634192348
      145        22 -0.0010205881842356653594
      145        27 -0.065784357091872580625
      145        28 0.018907425743941656815
      145        35 -0.033002700407104373914
      145        36 -0.0093894271206442208449
      146         1 0.18436568498828984075
      146         2 -0.22075049851981151661
      146         3 0.013809817436626813103
      146         4 0.9594457000148732817
      146         5 -0.19698354143078927736
      146         6 -0.22047634176831207298
      146         7 0.00020003982523973364493
      146         8 -0.0019287863653448900168
      146        19 -0.0098894112584287409418
      146        20 -0.4322273295653151215
      146        21 -0.0010205881842377977683
      146        22 -0.0021964335372800002436
      146        27 0.018907425743941524976
      146        28 -0.053497079344182150995
      146        35 -0.0093894271206421808101
      146        36 -0.025000471541840214862
      147         9 -0.023932279055274133239
      147        10 -0.11565402535300882414
      147        11 0.84200367725736668945
      147        12 -0.040568259189254218811
      147        13 0.1966102832855581295
      147        14 0.16354266171401629637
      147        15 -0.017863305826866727327
      147        16 0.0063835800929580993612
      147        23 -0.38824068545569506705
      147        24 -0.069281445371704344915
      147        25 -0.24042265530041756483
      147        26 -0.10134907474208383615
      147        33 -0.28560533326939935295
      147        34 0.15835240530274349857
      147        41 -0.04779158202792743726
      147        42 -0.00031391655734370631009
      147        45 -0.026188284983734825412
      147        46 -0.0011119258963229142635
      148         9 0.068458542427456026136
      148        10 -0.21962165006523493016
      148        11 0.10105753471419023914
      148        12 0.78304042594925216125
      148        13 -0.1505065239284722467
      148        14 -0.045369515708982843805
      148        15 -0.0053055959484485954586
      148        16 -0.040550450302575646866
      148        23 -0.069281445371727132243
      148        24 0.12430710382448813267
      148        25 -0.10134907474208351696
