# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
306 306 0  2128
      141       159 -0.024721120612347536466
      141       160 -0.00036707655303581119069
      142       133 -0.0006688719928918071024
      142       134 -0.0020729632614230400489
      142       141 -0.00073090855065162743404
      142       142 0.0223229365871940727
      142       147 0.014598566602716864585
      142       148 -0.0090912329071871113284
      142       159 -0.013198786059173425386
      142       160 -0.011147313179471844344
      143       131 -1.6889123373115245378e-05
      143       132 -4.0178808595418758398e-05
      143       143 0.26197132929447486394
      143       144 -0.001164254243926270008
      143       147 0.004995685918206416859
      143       148 0.0023725718952676017742
      143       155 -0.037402709703020481369
      143       156 0.0025140750206066441591
      143       161 -0.22927251085711730649
      143       162 -0.0036822138633525527962
      144       131 7.0507904955551143082e-06
      144       132 -5.8996301933246582025e-05
      144       143 -0.001164254243926270008
      144       144 0.14135546044290894785
      144       147 -0.052178873215478829839
      144       148 -0.017657562070364712231
      144       155 0.066433407827919815913
      144       156 -0.039648572333010369262
      144       161 -0.01309733115901026354
      144       162 -0.083715424208430103126
      145       139 -0.0019118706458643873383
      145       140 0.0025495004892880533329
      145       145 1.0428925521835172852
      145       146 0.015353179773012875717
      145       149 -0.12179925985122815046
      145       150 -0.012982483945239904968
      145       157 -0.17152658586622504533
      145       158 -0.013419819138915923401
      145       163 -0.74428607644740951699
      145       164 0.0084996228218549591676
      146       139 0.00016273095645798682225
      146       140 -0.0019548437029800395763
      146       145 0.015353179773012875717
      146       146 0.84853645090662999095
      146       149 0.18018513702403562982
      146       150 -0.289909685282955909
      146       157 -0.21465982838889763329
      146       158 -0.29016793875923579948
      146       163 0.018958780635391230679
      146       164 -0.26313522378866932572
      147       141 -0.014519966985430624723
      147       142 0.014598566602716864585
      147       143 0.004995685918206416859
      147       144 -0.052178873215478829839
      147       147 1.2169370408614519352
      147       148 -0.01509622050509172933
      147       159 -0.078917976944345061274
      147       160 0.12080387466675840402
      147       161 -0.17414077931495597351
      147       162 -0.028235260395521225019
      147       167 -0.44317624606584099523
      147       168 -0.24348618112708844685
      147       177 -0.5026079228454776171
      147       178 0.2035940939737051758
      148       141 0.00055642464148909309783
      148       142 -0.0090912329071871113284
      148       143 0.0023725718952676017742
      148       144 -0.017657562070364712231
      148       147 -0.01509622050509172933
      148       148 1.2759667172768920373
      148       159 -0.1134348510842995289
      148       160 -0.38236906525425878867
      148       161 0.16661155921109238598
      148       162 -0.49731436833241787765
      148       167 -0.24505809310773804532
      148       168 -0.21480699071155701096
      148       177 0.20404860894928061876
